feature,importance
cat__TotalCharges_219,0.0
cat__TotalCharges_2188.45,0.0
cat__TotalCharges_2187.55,0.0
cat__TotalCharges_2187.15,0.0
cat__TotalCharges_21.05,0.0
cat__TotalCharges_21.1,0.0
cat__TotalCharges_210.3,0.0
cat__TotalCharges_210.65,0.0
cat__TotalCharges_210.75,0.0
cat__TotalCharges_2104.55,0.0
cat__TotalCharges_2106.05,0.0
cat__TotalCharges_2106.3,0.0
cat__TotalCharges_2107.15,0.0
cat__TotalCharges_2109.35,0.0
cat__TotalCharges_211.95,0.0
cat__TotalCharges_2111.3,0.0
cat__TotalCharges_2111.45,0.0
cat__TotalCharges_2117.2,0.0
cat__TotalCharges_2117.25,0.0
cat__TotalCharges_2119.5,0.0
cat__TotalCharges_212.3,0.0
cat__TotalCharges_212.4,0.0
cat__TotalCharges_2122.05,0.0
cat__TotalCharges_21,0.0
cat__TotalCharges_2096.1,0.0
cat__TotalCharges_2095,0.0
cat__TotalCharges_2088.05,0.0
cat__TotalCharges_2078.95,0.0
cat__TotalCharges_208,0.0
cat__TotalCharges_208.45,0.0
cat__TotalCharges_208.7,0.0
cat__TotalCharges_2080.1,0.0
cat__TotalCharges_2082.95,0.0
cat__TotalCharges_2083.1,0.0
cat__TotalCharges_2085.45,0.0
cat__TotalCharges_2088.45,0.0
cat__TotalCharges_2094.9,0.0
cat__TotalCharges_2088.8,0.0
cat__TotalCharges_209.1,0.0
cat__TotalCharges_209.9,0.0
cat__TotalCharges_2090.25,0.0
cat__TotalCharges_2092.9,0.0
cat__TotalCharges_2093.4,0.0
cat__TotalCharges_2093.9,0.0
cat__TotalCharges_2094.65,0.0
cat__TotalCharges_2122.45,0.0
cat__TotalCharges_213.35,0.0
cat__TotalCharges_2130.45,0.0
cat__TotalCharges_2172.05,0.0
cat__TotalCharges_2169.4,0.0
cat__TotalCharges_2169.75,0.0
cat__TotalCharges_2169.8,0.0
cat__TotalCharges_217.1,0.0
cat__TotalCharges_217.45,0.0
cat__TotalCharges_217.5,0.0
cat__TotalCharges_217.55,0.0
cat__TotalCharges_2171.15,0.0
cat__TotalCharges_2178.6,0.0
cat__TotalCharges_2168.15,0.0
cat__TotalCharges_218.5,0.0
cat__TotalCharges_218.55,0.0
cat__TotalCharges_2180.55,0.0
cat__TotalCharges_2181.55,0.0
cat__TotalCharges_2184.35,0.0
cat__TotalCharges_2184.6,0.0
cat__TotalCharges_2184.85,0.0
cat__TotalCharges_2186.4,0.0
cat__TotalCharges_2168.9,0.0
cat__TotalCharges_2162.6,0.0
cat__TotalCharges_2130.55,0.0
cat__TotalCharges_2149.05,0.0
cat__TotalCharges_2136.9,0.0
cat__TotalCharges_2139.2,0.0
cat__TotalCharges_214.4,0.0
cat__TotalCharges_214.55,0.0
cat__TotalCharges_214.75,0.0
cat__TotalCharges_2142.8,0.0
cat__TotalCharges_2145,0.0
cat__TotalCharges_2146.5,0.0
